,angleSeq,fstFrameN,percentS,Observer,approxMs,totalNo
20,40,43,0.1875,pvm_3004mb.xlsx,716.6666667,32
21,40,51,0.40625,pvm_3004mb.xlsx,850,32
22,40,59,0.65625,pvm_3004mb.xlsx,983.3333333,32
23,40,67,0.8125,pvm_3004mb.xlsx,1116.666667,32
24,40,75,0.96875,pvm_3004mb.xlsx,1250,32
25,50,43,0.1,pvm_3004mb.xlsx,716.6666667,60
26,50,51,0.216666667,pvm_3004mb.xlsx,850,60
27,50,59,0.55,pvm_3004mb.xlsx,983.3333333,60
28,50,67,0.716666667,pvm_3004mb.xlsx,1116.666667,60
29,50,75,0.883333333,pvm_3004mb.xlsx,1250,60
30,60,43,0.1,pvm_3004mb.xlsx,716.6666667,60
31,60,51,0.333333333,pvm_3004mb.xlsx,850,60
32,60,59,0.616666667,pvm_3004mb.xlsx,983.3333333,60
33,60,67,0.883333333,pvm_3004mb.xlsx,1116.666667,60
34,60,75,0.966666667,pvm_3004mb.xlsx,1250,60
35,80,43,0.0625,pvm_3004mb.xlsx,716.6666667,32
36,80,51,0.1875,pvm_3004mb.xlsx,850,32
37,80,59,0.46875,pvm_3004mb.xlsx,983.3333333,32
38,80,67,0.84375,pvm_3004mb.xlsx,1116.666667,32
39,80,75,0.84375,pvm_3004mb.xlsx,1250,32
0,0,43,0,pvm_7721All.xlsx,716.6666667,30
1,0,51,0.066666667,pvm_7721All.xlsx,850,30
2,0,59,0.266666667,pvm_7721All.xlsx,983.3333333,30
3,0,67,0.566666667,pvm_7721All.xlsx,1116.666667,30
4,0,75,0.933333333,pvm_7721All.xlsx,1250,30
5,10,43,0,pvm_7721All.xlsx,716.6666667,30
6,10,51,0.033333333,pvm_7721All.xlsx,850,30
7,10,59,0.366666667,pvm_7721All.xlsx,983.3333333,30
8,10,67,0.466666667,pvm_7721All.xlsx,1116.666667,30
9,10,75,0.833333333,pvm_7721All.xlsx,1250,30
10,20,43,0,pvm_7721All.xlsx,716.6666667,30
11,20,51,0.133333333,pvm_7721All.xlsx,850,30
12,20,59,0.4,pvm_7721All.xlsx,983.3333333,30
13,20,67,0.766666667,pvm_7721All.xlsx,1116.666667,30
14,20,75,0.833333333,pvm_7721All.xlsx,1250,30
15,30,43,0.033333333,pvm_7721All.xlsx,716.6666667,30
16,30,51,0.066666667,pvm_7721All.xlsx,850,30
17,30,59,0.433333333,pvm_7721All.xlsx,983.3333333,30
18,30,67,0.533333333,pvm_7721All.xlsx,1116.666667,30
19,30,75,0.833333333,pvm_7721All.xlsx,1250,30
20,40,43,0.033333333,pvm_7721All.xlsx,716.6666667,30
21,40,51,0.2,pvm_7721All.xlsx,850,30
22,40,59,0.6,pvm_7721All.xlsx,983.3333333,30
23,40,67,0.733333333,pvm_7721All.xlsx,1116.666667,30
24,40,75,0.9,pvm_7721All.xlsx,1250,30
25,50,43,0.133333333,pvm_7721All.xlsx,716.6666667,30
26,50,51,0.166666667,pvm_7721All.xlsx,850,30
27,50,59,0.666666667,pvm_7721All.xlsx,983.3333333,30
28,50,67,0.7,pvm_7721All.xlsx,1116.666667,30
29,50,75,0.766666667,pvm_7721All.xlsx,1250,30
30,60,43,0.066666667,pvm_7721All.xlsx,716.6666667,30
31,60,51,0.2,pvm_7721All.xlsx,850,30
32,60,59,0.566666667,pvm_7721All.xlsx,983.3333333,30
33,60,67,0.933333333,pvm_7721All.xlsx,1116.666667,30
34,60,75,0.933333333,pvm_7721All.xlsx,1250,30
35,80,43,0.033333333,pvm_7721All.xlsx,716.6666667,30
36,80,51,0.166666667,pvm_7721All.xlsx,850,30
37,80,59,0.6,pvm_7721All.xlsx,983.3333333,30
38,80,67,0.7,pvm_7721All.xlsx,1116.666667,30
39,80,75,0.9,pvm_7721All.xlsx,1250,30
